ID,Rt,Name,Train,Origin,Dest,Class,RtCl-1,RtCl-2,BL,Date,Rep Month,Rep FYR,PNR,Version,Riders,Weight,Miles,DepP,ArrP,S1,1010,1020,1025,1030,1040,1042,1044,1046,1050,1060,1070,1080,1090,1100,1110,2010,2020,2030,2040,2050,2060,2065,2070,2080,2090,2100,2110,2120,2124,2126,2130,2132,2133,2135,2140,2150,2160,2170,2180,2141,2142,2152,2162,2172,2182,2185,2190,2200,2210,2220,2410,2420,2430,2440,2450,2460,3010,3020,3030,3040,4010,4020,4030,4040,4050,4060
609371,7,Empire West/Maple Leaf,284,BFX,NYP,C,07C,07A,SC,12/27/2017,201712,2018,,SDWF,1,151,437,1,-9,4,100,NULL,NULL,NULL,NULL,8,100,100,NULL,NULL,80,80,80,80,90,100,NULL,100,30,100,100,1,90,40,80,100,80,100,90,100,100,NULL,NULL,1,60,100,100,100,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,20,100,20,40,30,80,40,50,50,80,NULL,90,90,100,95
609372,7,Empire West/Maple Leaf,284,BUF,ALB,C,07C,07A,SC,12/27/2017,201712,2018,,SDWF,1,151,290,3,10,2,100,100,NULL,NULL,NULL,8,90,90,90,90,80,100,90,90,90,80,NULL,90,50,80,80,2,NULL,NULL,90,90,100,100,90,90,90,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,90,100,90,90,90,90,90,100,NULL,100,100,100,100
609373,7,Empire West/Maple Leaf,283,NYP,NFL,C,07C,07A,SC,12/27/2017,201712,2018,,SDWF,1,151,460,0,599,2,90,90,NULL,NULL,NULL,8,90,90,90,90,90,90,90,90,90,70,NULL,80,50,90,90,2,NULL,NULL,90,90,90,0,90,10,90,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,90,NULL,10,10,10,10
609374,7,Empire West/Maple Leaf,281,NYP,NFL,C,07C,07A,SC,12/27/2017,201712,2018,,SDWF,1,151,460,0,33,4,0,0,NULL,NULL,NULL,8,10,60,30,10,0,0,40,10,0,0,NULL,0,0,30,50,1,50,50,0,0,0,0,50,20,20,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,20,0,0,20,0,NULL,0,0,0,0
609375,7,Empire West/Maple Leaf,284,ROC,NYP,C,07C,07A,SC,12/27/2017,201712,2018,,SDWF,1,151,370,9,-9,2,100,100,NULL,NULL,NULL,8,80,80,90,100,100,90,100,100,90,90,NULL,90,80,70,70,1,70,70,80,90,90,100,100,90,100,NULL,NULL,1,90,80,100,90,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,50,80,70,50,70,70,80,80,80,90,NULL,90,90,100,95
609376,7,Empire West/Maple Leaf,64,ROC,NYP,C,07C,07A,SC,12/27/2017,201712,2018,,SDWF,1,151,370,55,49,1,20,60,NULL,NULL,NULL,8,70,70,50,50,70,70,70,70,70,60,NULL,80,70,40,40,1,20,20,70,70,70,20,60,70,80,NULL,NULL,1,90,70,30,30,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,70,80,70,70,60,NULL,40,50,60,55
609377,7,Empire West/Maple Leaf,280,ROC,SDY,C,07C,07A,SC,12/27/2017,201712,2018,,SDWF,1,151,211,1,2,2,100,100,NULL,NULL,NULL,8,70,70,100,100,100,100,100,100,100,80,NULL,80,80,80,80,1,70,70,80,80,80,80,80,80,80,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,80,50,40,10,70,NULL,30,60,50,55
609378,7,Empire West/Maple Leaf,63,ROM,NFL,C,07C,07A,SC,12/27/2017,201712,2018,,SDWF,1,151,210,67,68,3,90,NULL,NULL,NULL,NULL,8,100,100,0,NULL,90,100,100,100,100,100,NULL,100,100,100,100,2,NULL,NULL,100,100,100,0,100,100,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,80,90,80,80,80,100,100,100,100,100,NULL,100,90,100,95
609379,7,Empire West/Maple Leaf,283,SDY,BUF,C,07C,07A,SC,12/27/2017,201712,2018,,SDWF,1,151,272,24,557,4,70,100,NULL,NULL,NULL,8,100,100,0,10,80,80,10,10,40,80,NULL,0,0,90,90,1,40,50,50,20,30,0,50,0,70,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0
609380,7,Empire West/Maple Leaf,281,SYR,BFX,C,07C,07A,SC,12/27/2017,201712,2018,,SDWF,1,151,147,29,28,1,100,100,NULL,NULL,NULL,8,100,100,100,100,100,100,100,100,100,100,NULL,70,70,70,80,1,0,20,0,100,100,50,50,100,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,NULL,100,70,90,80
